2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8772,0.24,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8772,0.24,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8772,0.24,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8772,0.24,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8772,0.24,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8772,0.24,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8772,0.24,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8772,0.24,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
2026-07-19,CHI,Sydney Taylor,Natasha Cloud,pts_reb,14.5,1.8929,0.247,3.6
